generation,gen_index,num_candidates,best_candidate_edges,gen_union_edges,cumulative_union_edges
initial,-1,5,15432,16427,16427
gen0,0,1000,15461,21733,21889
gen1,1,1000,14715,20233,22550
gen2,2,1000,14938,22150,22866
gen3,3,1000,15824,22196,23083
gen4,4,1000,15978,22337,23374
gen5,5,1000,16007,22302,23504
gen6,6,1000,16349,22605,23633
gen7,7,1000,15740,22236,23723
gen8,8,1000,16240,22472,23813
gen9,9,1000,15540,22553,23875
gen10,10,1000,15228,22427,23916
gen11,11,1000,15683,22631,23979
gen12,12,1000,16246,22401,24004
gen13,13,1000,16000,22560,24042
gen14,14,1000,16256,22601,24089
gen15,15,1000,15223,22467,24193
gen16,16,1000,16341,22506,24254
gen17,17,1000,16197,22906,24289
gen18,18,1000,16388,22771,24361
gen19,19,1000,16437,22421,24392
gen20,20,1000,16124,22786,24439
gen21,21,1000,15502,22767,24516
gen22,22,1000,15957,22723,24566
gen23,23,1000,16423,22603,24580
gen24,24,1000,15971,22606,24616
gen25,25,1000,16045,22650,24637
gen26,26,1000,16267,22869,24700
gen27,27,1000,15418,22764,24735
gen28,28,1000,16126,22809,24759
gen29,29,1000,16545,22728,24774
gen30,30,1000,16796,23046,24787
gen31,31,1000,16665,22899,24822
gen32,32,1000,16280,22928,24843
gen33,33,1000,15399,22791,24853
gen34,34,1000,15770,22851,24867
gen35,35,1000,15588,22852,24887
gen36,36,1000,16604,22708,24892
gen37,37,1000,16644,22784,24906
gen38,38,1000,16489,22751,24918
gen39,39,1000,16226,22845,24937
gen40,40,1000,16802,22898,24954
gen41,41,1000,16794,22957,24973
gen42,42,1000,15960,22900,24987
gen43,43,1000,16289,22685,24992
gen44,44,1000,16128,23137,25025
gen45,45,1000,15922,22843,25031
gen46,46,1000,16304,23031,25042
gen47,47,1000,16067,22915,25057
gen48,48,1000,16302,22995,25061
gen49,49,1000,16391,23267,25073
gen50,50,1000,16977,22913,25108
gen51,51,1000,16368,23159,25134
gen52,52,1000,15465,22895,25141
gen53,53,1000,15658,23089,25157
gen54,54,1000,15788,22954,25179
gen55,55,1000,16297,23059,25204
gen56,56,1000,16542,23067,25225
gen57,57,1000,15652,22828,25233
gen58,58,1000,16443,22858,25246
gen59,59,1000,16389,23011,25254
gen60,60,1000,16146,23021,25261
